index ,,                 Name                         ,        Author          ,     Genre           , Pages_Count , Keywords                           , Rating , Year_Written 
269,304, The Hobbit                              , J.R.R. Tolkien         , Fantasy            ,310," adventure, quest, friendship    ",5,1937
270,305, The Kite Runner                         , Khaled Hosseini        , Historical Fiction ,371," redemption, friendship, guilt   ",5,2003
271,306, Don Quixote                             , Miguel de Cervantes    , Satire             ,863," chivalry, adventure, madness    ",5,1605
272,307, The Adventures of Sherlock Holmes       , Arthur Conan Doyle     , Detective Fiction  ,339," mystery, investigation, logic   ",5,1892
273,308, Anne of Green Gables                    , Lucy Maud Montgomery   , Bildungsroman      ,429," orphan, imagination, friendship ",5,1908
274,309, The Count of Monte Cristo               , Alexandre Dumas        , Adventure Fiction  ," 1,243 "," revenge, betrayal, justice      ",5,1844
275,310, Sense and Sensibility                   , Jane Austen            ," Romance, Classic Literature ",318," love, marriage, society         ",5,1811
276,311, The Grapes of Wrath                     , John Steinbeck         , Historical Fiction ,464," poverty, migration, survival    ",5,1939
277,312, The Brothers Karamazov                 , Fyodor Dostoevsky      , Philosophical Fiction ,796," family, religion, morality      ",5,1880
278,313, Middlemarch                             , George Eliot           , Realist Fiction    ,799," society, marriage, reform       ",5,1871
279,314, The Sun Also Rises                      , Ernest Hemingway       , Modernist Fiction  ,251," expatriate life, disillusionment",5,1926
280,315, The Sound and the Fury                  , William Faulkner       , Modernist Fiction  ,326," stream of consciousness, decay ",5,1929
281,316, The Scarlet Letter                      , Nathaniel Hawthorne    , Romanticism        ,238," sin, guilt, redemption          ",5,1850
282,317, The Iliad                               , Homer                  , Epic Poetry        ,683," war, heroism, mythology         ",5,    8th c. BC
283,318, The Canterbury Tales                    , Geoffrey Chaucer       , Middle English Poetry ,429," pilgrimage, stories, satire     ",5,1387
284,319, A Tale of Two Cities                    , Charles Dickens        , Historical Fiction ,341," revolution, sacrifice, love     ",5,1859
285,320, The Outsiders                           , S.E. Hinton            , Young Adult Fiction ,192," friendship, loyalty, identity   ",5,1967
286,321, The Adventures of Tom Sawyer            , Mark Twain             , Adventure Fiction  ,274," childhood, adventure, mischief  ",5,1876
287,322, The Divine Secrets of the Ya-Ya Sisterhood , Rebecca Wells        , Southern Fiction  ,356," family, friendship, secrets     ",5,1996
288,323, A Clockwork Orange                      , Anthony Burgess        , Dystopian Fiction  ,213," violence, society, freedom      ",5,1962
289,324, The Little Prince                       , Antoine de Saint-ExupǸry , Children's Literature ,83," friendship, imagination, love   ",5,1943
290,325, The Alchemist                           , Paulo Coelho           ," Quest, Fantasy    ",197," destiny, journey, treasure      ",5,1988
291,326, Beloved                                 , Toni Morrison          , Historical Fiction ,275," slavery, trauma, identity       ",5,1987
292,327, The Secret Garden                       , Frances Hodgson Burnett , Children's Literature ,331," nature, healing, friendship     ",5,1911
293,328, The Handmaid's Tale                     , Margaret Atwood        , Dystopian Fiction ,311," oppression, feminism, rebellion ",5,1985
294,329, The Bell Jar                            , Sylvia Plath           , Semi-Autobiographical Fiction ,290," mental illness, identity, society ",5,1963
295,, Walden                                  , Henry David Thoreau    ," Philosophy, Memoir ",301," nature, solitude, simplicity    ",5,1854
